intervencion_id,etiqueta_humana,etiqueta_adjudicada_v3,es_relevante_adjudicada_v3,confianza_adjudicacion,cita_literal_adjudicacion,fundamento_adjudicacion,resultado_revision,estado_revision
RPM-2005-08-11:352:1,hawkish,hawkish,1,alta,"Se puede descartar la opción de mantener la tasa de política monetaria, considerando que prácticamente todas las novedades apuntan hacia mayores presiones inflacionarias, lo que reafirma la necesidad de continuar normalizando la tasa de política monetaria.","Ratificada tras lectura completa: El Consejo descarta mantener la TPM y plantea como opciones relevantes aumentarla en 25 o 50 puntos base, señalando que casi todas las novedades apuntan a mayores presiones inflacionarias y que se reafirma la necesidad de continuar normalizando la política monetaria. Dirección hawkish (subir tasa y retirar estímulo), con confianza alta pese a que el texto no explicita el monto final votado.",ratificada_v3,cerrado
RPM-2009-03-12:2431:1,dovish,dovish,1,alta,"su recomendación al Consejo es bajar la Tasa de Política Monetaria en 250 puntos base, manteniendo el sesgo bajista.","Ratificada tras lectura completa: El Gerente recomienda bajar la TPM en 250 puntos base hasta 2,25%, manteniendo el sesgo bajista y contemplando reducciones adicionales. Acción dovish explícita (bajar tasa con sesgo a la baja) según Codebook v3.",ratificada_v3,cerrado
RPM-2013-10-17:5857:3,dovish,dovish,1,alta,"el Consejo del Banco Central de Chile acordó reducir la Tasa de Interés de Política Monetaria en 25 puntos base a 4,75% anual.","Ratificada tras lectura completa: El Acuerdo del Consejo reduce la TPM en 25 puntos base a 4,75% anual, en un contexto de escenario externo más débil, inflación por debajo del rango y normalización más lenta esperada. Acción dovish explícita (bajar tasa) según Codebook v3.",ratificada_v3,cerrado
RPM-2009-05-07:2545:1,dovish,dovish,1,alta,"el Consejero señor Enrique Marshall vota por bajar la Tasa de Política Monetaria en 50 puntos base, para dejarla en 1,25%.","Ratificada tras lectura completa: El Consejero vota por bajar la TPM en 50 puntos base hasta 1,25%, señalando que existe espacio para actuar y que la rebaja cubre mejor el riesgo de debilidad persistente de la demanda, con un comunicado que deje abierta la posibilidad de nuevos recortes. Acción dovish explícita (bajar tasa) según Codebook v3.",ratificada_v3,cerrado
RPM-2010-02-11:2940:1,hawkish,neutral,1,alta,"la brecha que comienza a producirse entre el IPC y el IPCX1 tiende a aumentar y que ello no constituye un buen dato para la política monetaria, porque la percepción de inflación comienza a incrementarse.","Señala un riesgo para percepción de inflación, sin conectar ese diagnóstico con una acción o sesgo monetario propio.",corregida_v3,cerrado
RPM-2015-08-13:6957:1,hawkish,neutral,1,alta,"si bien la Minuta de Opciones no sugiere en caso alguno tomar una acción inminente, plantea la necesidad de discutirlo como un riesgo real hacia adelante",Cualifica un riesgo de desanclaje y excluye una acción inminente; discutir el riesgo no equivale a respaldar endurecimiento.,corregida_v3,cerrado
RPM-2010-06-15:3204:1,hawkish,hawkish,1,media,para que ello sea posible es necesario ir normalizando la política monetaria,"Ratificada tras lectura completa: El Presidente señala que para que la inflación converja a 3% es necesario ir normalizando la política monetaria, en un contexto de economía transitando una sólida senda de recuperación y cierre progresivo de brechas. Retiro gradual del estímulo monetario configura dirección hawkish, con confianza media por no explicitar el monto del alza votada.",ratificada_v3,cerrado
RPM-2007-12-13:1610:1,hawkish,hawkish,1,alta,su voto es por subir la Tasa de Política Monetaria a 6%.,"Ratificada tras lectura completa: El Consejero vota por subir la TPM a 6% en 25 puntos base, argumentando el alto nivel de inflación (sobre 7%), la necesidad de mitigar riesgos de propagación y reforzar la credibilidad, con sesgo neutral hacia adelante. Acción hawkish explícita (subir tasa) según Codebook v3.",ratificada_v3,cerrado
RPM-2009-01-08:2299:1,dovish,dovish,1,alta,"el Consejo del Banco Central de Chile acordó reducir la tasa de interés de política monetaria en 100 puntos base, hasta 7,25% anual.","Ratificada tras lectura completa: El Acuerdo del Consejo reduce la TPM en 100 puntos base hasta 7,25% anual, fundamentado en la perspectiva de una caída significativa de la inflación hacia el mediano plazo y anunciando la continuidad de un proceso de relajamiento monetario. Acción dovish explícita (bajar tasa con sesgo a la baja) según Codebook v3.",ratificada_v3,cerrado
RPM-2009-02-12:2366:1,dovish,dovish,1,alta,recomienda reducir la Tasa de Política Monetaria en un monto superior a 150 puntos base.,"Ratificada tras lectura completa: El Gerente recomienda reducir la TPM en un monto superior a 150 puntos base, argumentando desaceleración significativa de la economía, condiciones crediticias restrictivas y caída de la inflación y sus expectativas, sin necesidad de gradualidad. Acción dovish explícita (bajar tasa de forma agresiva) según Codebook v3.",ratificada_v3,cerrado
RPM-2014-10-16:6474:1,dovish,dovish,1,alta,los antecedentes disponibles confirman la necesidad de seguir expandiendo el impulso monetario,"Ratificada tras lectura completa: El Ministro de Hacienda concluye que los antecedentes confirman la necesidad de seguir expandiendo el impulso monetario, ante debilidad de la actividad local, incertidumbre sobre la economía mundial y medidas subyacentes de inflación alineadas con la meta. Ampliar impulso monetario configura dirección dovish explícita según Codebook v3.",ratificada_v3,cerrado
RPM-2010-06-15:3201:1,hawkish,hawkish,1,alta,"vota por subir la TPM en 50 puntos base, para dejarla en 1%.","Ratificada tras lectura completa: El Consejero vota por subir la TPM en 50 puntos base hasta 1%, argumentando que la TPM está en un nivel extremadamente bajo y surge con claridad la necesidad de proceder a normalizar su nivel, con riesgo alto de no actuar. Acción hawkish explícita (subir tasa y retirar estímulo) según Codebook v3.",ratificada_v3,cerrado
RPM-2007-02-08:1090:7,dovish,neutral,1,alta,"la información acumulada desde la última reunión lleva a considerar que en su opinión realizar una reducción adicional, en la línea con el escenario base del IPoM, no parece ser urgente en esta ocasión.",Considera que una reducción adicional no es urgente y que los antecedentes no apuntan en dirección evidente; no respalda un recorte futuro.,corregida_v3,cerrado
RPM-2007-08-09:1390:1,hawkish,hawkish,1,alta,"le parece preferible un aumento de 25 puntos base, manteniendo un sesgo restrictivo respecto a futuras decisiones para las tasas de política monetaria.","Ratificada tras lectura completa: El Gerente respalda un aumento de 25 puntos base con sesgo restrictivo, argumentando necesidad de anticiparse a presiones inflacionarias de demanda por cierre de brechas, alzas salariales en sectores específicos y riesgo de desanclaje de expectativas. Acción hawkish explícita (subir tasa y sesgo al alza) según Codebook v3.",ratificada_v3,cerrado
RPM-2009-05-07:2546:1,dovish,dovish,1,alta,el Consejero señor Manuel Marfán indica que su voto es por rebajar la Tasa de Política Monetaria en 50 puntos base.,"Ratificada tras lectura completa: El Consejero vota por rebajar la TPM en 50 puntos base, argumentando que tanto los shocks de oferta como de demanda apuntan a una reducción de la tasa y que es importante llegar rápido a la tasa deseada para el impulso monetario requerido. Acción dovish explícita (bajar tasa) según Codebook v3.",ratificada_v3,cerrado
RPM-2009-07-09:2631:1,dovish,neutral,1,alta,"la tasa de interés real debe corresponder a aquélla que se requiere para cumplir con los objetivos de política monetaria y dado el output gap, su convicción es que más allá de que el plazo sea muy corto, no se encuentra donde debería estar","Afirma que la tasa no está donde debería, pero no dice si debe subir o bajar; inferir baja desde el output gap añadiría dirección invisible.",corregida_v3,cerrado
RPM-2008-07-10:1967:1,hawkish,hawkish,1,alta,la opción válida en esta Reunión de Política Monetaria es aumentar la Tasa en 50 puntos base o más.,"Ratificada tras lectura completa: El Gerente sostiene que la opción válida es aumentar la TPM en 50 puntos base o más, destacando inflación anual cercana al 10%, deterioro de expectativas con desanclaje y necesidad de sesgo alcista en el Comunicado. Acción hawkish explícita (subir tasa y sesgo al alza) según Codebook v3.",ratificada_v3,cerrado
RPM-2008-02-07:1685:1,hawkish,neutral,1,alta,no se puede descartar que sea necesario ajustar nuevamente la TPM de forma de asegurar la convergencia de la inflación a la meta,"Mantiene la TPM y no descarta ajustarla nuevamente, pero no especifica el signo del eventual ajuste; el diagnóstico inflacionario no asigna H.",corregida_v3,cerrado
RPM-2011-01-13:3716:1,hawkish,hawkish,1,alta,"El Consejo reitera que será necesario continuar reduciendo el estímulo monetario en los meses venideros, en línea con lo anticipado en el último IPoM.","Ratificada tras lectura completa: El Acuerdo mantiene la TPM en 3,25% pero el Comunicado reitera que será necesario continuar reduciendo el estímulo monetario en los meses venideros, con expectativas inflacionarias al alza en el horizonte de política. Mantención con sesgo futuro al alza (retiro de estímulo) configura dirección hawkish según Codebook v3.",ratificada_v3,cerrado
RPM-2007-01-11:1046:3,neutral,neutral,1,baja,"le parece que se encuentran en la dirección correcta, sin embargo, le añadiría un core Une, en el sentido de que el ajuste de las expectativas privadas dependen de una serie de variables, entre otras, de las acciones del Banco Central al fijar una tasa de política.","Ratificada tras lectura completa: El Ministro de Hacienda manifiesta acuerdo genérico con la dirección planteada por el Vicepresidente y el Gerente, añadiendo un comentario técnico sobre el ajuste de expectativas y las acciones del Banco Central al fijar la tasa, sin especificar ni respaldar una dirección concreta de tasa. La ambigüedad sobre la dirección respaldada impide una clasificación direccional clara; se etiqueta Neutral con confianza baja.",ratificada_v3,cerrado
RPM-2008-07-10:1963:1,neutral,neutral,1,baja,"la política monetaria actúa entre otras cosas, para prevenir el desanclaje de expectativas.","Ratificada tras lectura completa: El Ministro de Hacienda matiza un comentario señalando que la política monetaria actúa, entre otras cosas, para prevenir el desanclaje de expectativas, sin adoptar ni recomendar una dirección concreta de tasa. Comentario conceptual general sin resolución direccional: Neutral, con confianza baja por su carácter genérico.",ratificada_v3,cerrado
RPM-2013-03-14:5451:1,neutral,neutral,1,media,"En consecuencia, resalta que se mantiene un puzzle de política, por cuanto coexisten elementos importantes que recomendarían subir la tasa de interés y otros elementos también relevantes que aconsejarían reducirla. En este contexto, expresa que su voto es por mantener la tasa rectora en su nivel","Ratificada tras lectura completa: El Vicepresidente presenta opciones balanceadas (argumentos para subir y para bajar la tasa) y resuelve votar por mantener la TPM en su nivel actual manteniendo el sesgo del Comunicado. Mantención sin sesgo direccional propio claro, configurando Neutral según Codebook v3.",ratificada_v3,cerrado
RPM-2015-08-13:6952:1,neutral,neutral,1,media,"el alto nivel de inflación, su alta persistencia y las sucesivas correcciones de los pronósticos, representan un riesgo para el anclaje de las expectativas de inflación.","Ratificada tras lectura completa: La unidad es un diagnóstico macroeconómico detallado (mercado laboral, inflación, tipo de cambio, expectativas) sin propuesta ni respaldo explícito de una dirección de tasa. El Gerente reporta también expectativas de mercado sobre la primera alza de la TPM sin adoptarlas. Corresponde a diagnóstico sin conexión resolutiva con orientación de tasa: Neutral.",ratificada_v3,cerrado
RPM-2010-04-15:3069:1,neutral,neutral,1,media,"no se puede descartar a priori la opción de iniciar dicho proceso en esta Reunión con un alza de 25 puntos base, pero que, sin embargo, los contornos de la política contenida en el IPoM son también coherentes con la opción de mantener la TPM en su nivel mínimo en esta ocasión","Ratificada tras lectura completa: El Gerente presenta opciones balanceadas entre iniciar la normalización con alza de 25 pb o mantener la TPM, señalando que no es evidente que una opción sea nítidamente preferible. Opciones balanceadas sin resolución direccional propia: Neutral según Codebook v3.",ratificada_v3,cerrado
RPM-2010-01-14:2866:1,neutral,neutral,1,media,"Plantea que este tema hay que verlo con cuidado hacia el próximo IPoM y hacia la próxima Reunión de Política Monetaria. Añade que en el caso de los autos, es normal que se produzca una baja en algunos de ellos, pero que estos son ajustes por escalones.","Ratificada tras lectura completa: La intervención discute el coeficiente de traspaso del tipo de cambio a precios y su tratamiento analítico hacia el próximo IPoM, sin adoptar ni recomendar dirección de tasa. Diagnóstico técnico sin conexión resolutiva con orientación de tasa: Neutral.",ratificada_v3,cerrado
RPM-2012-07-12:4945:1,neutral,neutral,1,media,"si la proyección de inflación contenida en el IPoM de marzo último, que era cercana al 3,5%, se ha reducido a 2%, significa, de acuerdo con el principio de Taylor, que para efectos de la tasa de política monetaria, la referida política sería ahora menos expansiva, en razón de que la tasa real se","Ratificada tras lectura completa: El Vicepresidente realiza un diagnóstico técnico sobre el grado de expansividad de la política monetaria a la luz de la caída de la proyección de inflación y el alza de la tasa real, sin recomendar ni respaldar una dirección de tasa específica. Diagnóstico sin conexión resolutiva con orientación de tasa: Neutral.",ratificada_v3,cerrado
RPM-2009-01-08:2261:1,neutral,neutral,1,media,"El esquema de políticas económicas chileno, entre ellas la política monetaria, cambiaria y la política fiscal basada en reglas, está orientado y tiene la capacidad de ser utilizado como herramienta contracíclica, en especial, ante un shock como el actual, de origen exógeno y magnitud muy signific","Ratificada tras lectura completa: La unidad es un extenso diagnóstico macroeconómico sobre el impacto del escenario global en Chile, inflación y riesgos, incluyendo la mención de la política monetaria como herramienta contracíclica disponible sin adoptar ni recomendar una dirección concreta de tasa. Diagnóstico sin sesgo direccional resuelto: Neutral.",ratificada_v3,cerrado
RPM-2005-11-10:454:1,neutral,neutral,1,media,"tanto la estructura de tasas como las encuestas a analistas indican que se espera un aumento más rápido que lo previsto hace dos meses atrás de la TPM, lo que también puede haber contribuido a acotar el repunte de las expectativas de inflación.","Ratificada tras lectura completa: La unidad es un extenso diagnóstico macro (actividad, inflación, mercado laboral, tasas y expectativas) que reporta expectativas de mercado de alzas más rápidas de la TPM sin adoptar ni recomendar dirección propia de tasa. Diagnóstico sin sesgo direccional resuelto: Neutral.",ratificada_v3,cerrado
RPM-2014-10-16:6468:1,neutral,neutral,1,media,"en términos generales, las noticias no se han apartado de manera sustantiva del IPoM del mes de septiembre, donde el Consejo consideró —y así lo comunicó— que el fin del ciclo de recortes de la TPM estaba próximo, generando un aumento de las tasas de interés de mediano y largo plazo, que habían a","Ratificada tras lectura completa: La unidad es un diagnóstico macro detallado y reporta que las noticias son congruentes con el mensaje del IPoM sobre el fin próximo del ciclo de recortes, sin recomendar ni adoptar una nueva dirección de tasa. Diagnóstico sin sesgo direccional propio resuelto: Neutral según Codebook v3.",ratificada_v3,cerrado
RPM-2015-12-17:7174:1,neutral,neutral,1,media,"descarta una política fiscal muy contractiva, un posible credit crunch externo y una política monetaria muy restrictiva, no así un shock financiero doméstico y un fenómeno de expectativas a un shock autónomo","Ratificada tras lectura completa: El Consejero comenta la situación de Brasil y descarta factores como una política monetaria muy restrictiva, sin adoptar ni recomendar dirección alguna para la TPM en Chile. Comentario analítico sobre economía extranjera sin conexión con orientación doméstica: Neutral.",ratificada_v3,cerrado
RPM-2005-07-12:302:2,neutral,neutral,1,media,"si se mantiene constante la tasa de política en UF, pero hay un aumento del IPC hacia futuro, se pregunta si ello claramente significaría que la política monetaria está siendo más restrictiva.","Ratificada tras lectura completa: El Consejero plantea una pregunta técnica sobre la interpretación del grado de restrictividad de la política monetaria ante cambios en el IPC, sin adoptar ni recomendar dirección de tasa. Pregunta analítica sin resolución direccional: Neutral según Codebook v3.",ratificada_v3,cerrado
RPM-2010-02-11:2938:3,neutral,neutral,1,media,"ha sido beneficioso que el cambio metodológico ocurra en un momento en que la inflación se encuentra baja, en dos puntos y medio bajo el límite inferior del rango meta, ya que ello contribuye a subir la inflación sin necesidad de hacer política monetaria.","Ratificada tras lectura completa: El Vicepresidente comenta los efectos del cambio metodológico y del tipo de cambio sobre la proyección de inflación, señalando que contribuyen a elevarla sin necesidad de hacer política monetaria, sin recomendar ni adoptar dirección de tasa. Diagnóstico técnico sin sesgo direccional propio: Neutral.",ratificada_v3,cerrado
RPM-2014-06-12:6255:1,neutral,neutral,1,media,"se sugiere que el Banco Central Europeo adopte medidas más activas, que inevitablemente están asociadas a una política monetaria más expansiva, que faciliten o contrarresten en parte los movimientos que Estados Unidos de América haga en el mediano plazo o en su tasa de política.","Ratificada tras lectura completa: La unidad analiza búsqueda de retornos, riesgos financieros globales y debate internacional sobre política monetaria en la Zona Euro y Estados Unidos, sin adoptar ni recomendar dirección alguna para la TPM en Chile. Contexto externo sin conexión con orientación doméstica: Neutral según Codebook v3.",ratificada_v3,cerrado
RPM-2010-05-13:3107:2,neutral,neutral,1,media,"En su opinión, ello podría obedecer a que los bancos locales no tienen contemplado vender los bonos todavía, sino que tal vez en un tiempo más, ya que estiman que las tasas largas van a seguir cayendo, vendiendo sus depósitos mientras tanto.","Ratificada tras lectura completa: La unidad describe el uso de la FLAP y el Repo, las condiciones de liquidez y el comportamiento de los bancos, sin adoptar ni recomendar dirección de tasa. Diagnóstico de mercado sin sesgo direccional propio: Neutral según Codebook v3.",ratificada_v3,cerrado
RPM-2007-04-12:1212:1,neutral,neutral,1,media,señala que en la Reunión de Política Monetaria de marzo recomendó al Consejo bajar la Tasa de Política Monetaria.,"Ratificada tras lectura completa: El Gerente relata su recomendación pasada de bajar la TPM y analiza la evolución de la inflación y expectativas, señalando que están abiertas todas las opciones y que el escenario central del IPoM mantiene validez. Balance de opciones sin resolución direccional propia: Neutral según Codebook v3.",ratificada_v3,cerrado
RPM-2008-02-07:1663:3,neutral,neutral,1,media,en la última Reunión de Política Monetaria se puso un sesgo en el comunicado bastante claro respecto a futuras alzas en la Tasa de Política Monetaria.,"Ratificada tras lectura completa: El Consejero discute temas técnicos de PIB potencial, shocks de oferta y volatilidad de proyecciones, y menciona el sesgo al alza establecido en el comunicado de la reunión previa sin adoptar ni recomendar una dirección para la reunión actual. Comentario analítico sin sesgo direccional propio resuelto: Neutral.",ratificada_v3,cerrado
RPM-2006-10-12:942:1,neutral,neutral,1,media,"en su opinión, lo más razonable es mantener la tasa de política monetaria y seguir observando los desarrollos tanto en el frente de actividad como de precios, y sus implicancias en la inflación proyectada","Ratificada tras lectura completa: El Presidente respalda mantener la TPM a la espera de nuevos datos, reconociendo riesgos tanto al alza como a la baja para la inflación (por un lado posible desaceleración más persistente y por otro posible retraso en el cierre de holguras). Mantención sin sesgo direccional propio: Neutral según Codebook v3.",ratificada_v3,cerrado
RPM-2007-11-13:1544:2,neutral,neutral,1,media,"la reacción de política monetaria se hace significativa solamente cuando el shock es muy permanente con una disminución de 50 puntos base respecto del escenario central, mientras que si el shock es algo más transitorio, podría justificarse una disminución cercana a 25 puntos base, aunque esto no","Ratificada tras lectura completa: El Gerente presenta una simulación técnica sobre el impacto de shocks cambiarios en la inflación y la posible reacción de política monetaria, concluyendo que con los datos actuales el shock parece transitorio y sería prematuro emitir un juicio definitivo. Ejercicio analítico sin sesgo direccional resuelto: Neutral según Codebook v3.",ratificada_v3,cerrado
RPM-2013-03-14:5431:1,neutral,neutral,1,media,"los bajos registros inflacionarios también deben ser objeto de seguimiento porque afectan el nivel de nuestra tasa de política monetaria, que no solo es alta comparada con otras economías, sino que también lo es si se considera el nivel de la inflación interna","Ratificada tras lectura completa: El Consejero observa que la TPM es relativamente elevada dada la baja inflación y que el escenario no ha variado mayormente, aunque con leve aumento del riesgo de mayor impulso; no propone ni respalda una dirección concreta de tasa. Comentario de seguimiento sin resolución direccional: Neutral según Codebook v3.",ratificada_v3,cerrado
