actor,n_intervenciones_sustantivas,ranking,ngram,conteo_actor,conteo_resto,log_odds,z_score
Beltrán de Ramón Acevedo,146,13,mercados financieros nacionales senor,29,21,4.077074033422851,14.234427304327179
Beltrán de Ramón Acevedo,146,14,nacionales senor,29,41,3.408515492756038,14.053201253988892
Beltrán de Ramón Acevedo,146,15,nacionales,39,163,2.3258875807746904,13.058276948772424
Beltrán de Ramón Acevedo,146,16,mercados financieros,48,300,1.9243624131081276,12.393107910763959
Beltrán de Ramón Acevedo,146,17,puntos,95,1117,1.2948833724872717,12.142046650871222
Beltrán de Ramón Acevedo,146,18,puntos base,82,885,1.380065428801962,11.978840046196929
Beltrán de Ramón Acevedo,146,19,bajar la,20,26,3.4922221153379347,11.745994596452233
Beltrán de Ramón Acevedo,146,20,bajar,25,83,2.5555828386109116,11.209146787554417
Igal Magendzo Weinberger,120,1,anual,275,664,2.3141731075737075,32.28751523957458
Igal Magendzo Weinberger,120,2,crecimiento anual,79,112,2.8445082232397025,19.367778445678958
Igal Magendzo Weinberger,120,3,2006,83,148,2.6153958009508163,19.08030200666414
Igal Magendzo Weinberger,120,4,anual del,59,66,3.081092405305826,17.20307943273169
Igal Magendzo Weinberger,120,5,mes,311,2848,0.9831305364399663,16.48958290135649
Igal Magendzo Weinberger,120,6,2007,78,216,2.1755509778915565,16.478402456878108
Igal Magendzo Weinberger,120,7,gerente de analisis macroeconomico,120,596,1.5924721597588976,15.930636255699719
Igal Magendzo Weinberger,120,8,de analisis macroeconomico,120,610,1.56929199810547,15.729345103452305
Igal Magendzo Weinberger,120,9,analisis macroeconomico,120,620,1.5530586643955884,15.587536769853882
Igal Magendzo Weinberger,120,10,macroeconomico que,45,28,3.6671079882502315,15.241373214313194
Igal Magendzo Weinberger,120,11,septiembre,95,429,1.6872981546389436,14.89317226270357
Igal Magendzo Weinberger,120,12,macroeconomico,123,702,1.4537348887528312,14.88809362925316
Igal Magendzo Weinberger,120,13,analisis macroeconomico que,44,18,4.0860775408070245,14.611669390637838
Igal Magendzo Weinberger,120,14,mayo,76,284,1.8762159656981785,14.538216018415111
Igal Magendzo Weinberger,120,15,de analisis macroeconomico que,44,17,4.14317530307027,14.516280129897302
Igal Magendzo Weinberger,120,16,anual de,48,89,2.5760550371225257,14.391260158707814
Igal Magendzo Weinberger,120,17,de crecimiento anual,44,70,2.729026736627536,14.190759604665422
Igal Magendzo Weinberger,120,18,el mes,125,780,1.3646891736895048,14.181163430622954
Igal Magendzo Weinberger,120,19,valor,65,223,1.9614727390332547,13.92473181531122
Igal Magendzo Weinberger,120,20,ano 2006,39,48,2.985456732394203,13.85369282681141
Consejo del Banco Central de Chile,114,1,horas,106,211,4.470431598814863,37.5672447664607
Consejo del Banco Central de Chile,114,2,don,90,162,4.569939013318576,34.77552126171329
Consejo del Banco Central de Chile,114,3,16,79,134,4.628569684726434,32.64392423196079
Consejo del Banco Central de Chile,114,4,las 16,79,77,5.182205880237888,32.37192972504618
Consejo del Banco Central de Chile,114,5,00,72,91,4.922093905341058,31.217964885709534
Consejo del Banco Central de Chile,114,6,00 horas,72,76,5.102093527217379,31.034742870232826
Consejo del Banco Central de Chile,114,7,16 00,71,68,5.199199489476519,30.652806691427216
Consejo del Banco Central de Chile,114,8,16 00 horas,71,68,5.199199489476519,30.652806691427216
Consejo del Banco Central de Chile,114,9,las 16 00,71,68,5.199199489476519,30.652806691427216
Consejo del Banco Central de Chile,114,10,las 16 00 horas,71,68,5.199199489476519,30.652806691427216
Consejo del Banco Central de Chile,114,11,siendo las,75,44,5.689223457049598,29.972086981462716
Consejo del Banco Central de Chile,114,12,siendo,77,455,3.3818907742686557,27.47452303419295
Consejo del Banco Central de Chile,114,13,politica monetaria,127,2584,2.153228045842135,23.777257180938772
Consejo del Banco Central de Chile,114,14,monetaria,128,2655,2.134147603181235,23.671407586043685
Consejo del Banco Central de Chile,114,15,hacienda,64,498,3.106482615745743,23.427379295623652
Consejo del Banco Central de Chile,114,16,hacienda senor,47,203,3.6928494815915522,22.83207008468362
Consejo del Banco Central de Chile,114,17,politica,133,3324,1.9493541376023371,22.14343967415738
Consejo del Banco Central de Chile,114,18,el ministro,40,166,3.732289634066432,21.206563206904185
Consejo del Banco Central de Chile,114,19,reanuda,97,7,7.781598587218342,19.933479517943155
Consejo del Banco Central de Chile,114,20,ministro,58,663,2.722738557049314,19.925465416711532
Alberto Naudon Dell'Oro,107,1,inflacion,255,3728,1.0384593882923374,16.08560244013536
Alberto Naudon Dell'Oro,107,2,la inflacion,159,1953,1.2109162765862305,14.715711701175008
Alberto Naudon Dell'Oro,107,3,de la inflacion,68,516,1.689940141591869,13.117396198056065
Alberto Naudon Dell'Oro,107,4,contexto,46,334,1.733642827851316,11.038215040267994
Alberto Naudon Dell'Oro,107,5,ipom,90,1128,1.190053800526238,10.889373065112387
Alberto Naudon Dell'Oro,107,6,relevante,49,420,1.5682003296105487,10.404400546454584
Alberto Naudon Dell'Oro,107,7,opcion,37,249,1.8093042169762965,10.281767957726421
Alberto Naudon Dell'Oro,107,8,la gerencia de division,32,204,1.8632639300987952,9.811161179910703
Alberto Naudon Dell'Oro,107,9,convergencia,27,142,2.0551909614580497,9.798572481159033
Alberto Naudon Dell'Oro,107,10,la convergencia,19,60,2.564381769665257,9.747569812362379
Alberto Naudon Dell'Oro,107,11,gerencia de division,32,209,1.8391052505678864,9.699962350600643
Alberto Naudon Dell'Oro,107,12,inflacion sae,14,21,3.3080316101745257,9.591430950316239
Alberto Naudon Dell'Oro,107,13,sae,18,55,2.5972719020872255,9.5706493252816
Alberto Naudon Dell'Oro,107,14,mercado del trabajo,14,23,3.2171327849383946,9.494600933533018
Alberto Naudon Dell'Oro,107,15,la vision,23,109,2.1590839283621452,9.417792712647922
Alberto Naudon Dell'Oro,107,16,la gerencia de,33,241,1.7277005979928326,9.320546718104115
Alberto Naudon Dell'Oro,107,17,en este contexto,21,92,2.2375122609207008,9.259612867306597
Alberto Naudon Dell'Oro,107,18,gerencia de,33,248,1.699143673037578,9.182452271649346
Alberto Naudon Dell'Oro,107,19,este contexto,21,96,2.1950231327042253,9.11944961338816
Alberto Naudon Dell'Oro,107,20,contexto donde,12,16,3.42569389634796,8.97405514194521
Kevin Cowan Logan,101,1,financiera,105,310,3.0959976523582187,27.43530125955036
Kevin Cowan Logan,101,2,division politica,83,110,3.8957595257401563,26.80477803434776
Kevin Cowan Logan,101,3,de division politica,82,110,3.883622338289774,26.628919448587887
Kevin Cowan Logan,101,4,politica financiera,82,117,3.8219730905131586,26.547767880456284
Kevin Cowan Logan,101,5,gerente de division politica,81,104,3.9273861647199677,26.511784353953345
Kevin Cowan Logan,101,6,division politica financiera,80,110,3.858898513558021,26.27199215615609
Kevin Cowan Logan,101,7,de division politica financiera,79,110,3.8463043572589513,26.090860529675926
Kevin Cowan Logan,101,8,politica financiera senor,70,68,4.205850708262627,24.71014239617613
Kevin Cowan Logan,101,9,financiera senor,70,83,4.006657139771392,24.69926911113166
Kevin Cowan Logan,101,10,division politica financiera senor,69,66,4.221279509857558,24.526259286369854
Kevin Cowan Logan,101,11,el gerente de division,86,855,1.8837733604476998,16.682081232839458
Kevin Cowan Logan,101,12,de division,100,1420,1.5289596835153692,14.816012041567378
Kevin Cowan Logan,101,13,division,101,1463,1.5091891916023412,14.707644438260301
Kevin Cowan Logan,101,14,gerente de division,89,1190,1.5886427519532367,14.491332727097967
Kevin Cowan Logan,101,15,bancos,60,631,1.827210851783513,13.550918625698175
Kevin Cowan Logan,101,16,banca,24,70,3.1062301443270357,13.13958445219386
Kevin Cowan Logan,101,17,la banca,23,66,3.1224689854682426,12.903073805209702
Kevin Cowan Logan,101,18,financiamiento,35,222,2.3308557734663466,12.831241594390532
Kevin Cowan Logan,101,19,de financiamiento,24,139,2.421322255172856,10.965797634900056
Kevin Cowan Logan,101,20,los fondos,17,58,2.949472849318634,10.701518716125829
Esteban Jadresic Marinovic,73,1,operaciones financieras,61,146,3.439886904514025,22.57464819902794
Esteban Jadresic Marinovic,73,2,gerente de division operaciones,55,136,3.4071644296308916,21.333058337667612
Esteban Jadresic Marinovic,73,3,de division operaciones,55,139,3.38536707177182,21.262931223148335
Esteban Jadresic Marinovic,73,4,division operaciones,55,143,3.35702508476432,21.169259008803326
Esteban Jadresic Marinovic,73,5,de division operaciones financieras,54,136,3.38880601556221,21.079736491032058
Esteban Jadresic Marinovic,73,6,division operaciones financieras,54,140,3.3598477756731198,20.98521703867332
Esteban Jadresic Marinovic,73,7,operaciones,64,273,2.8628089016370915,20.630090404449017
Esteban Jadresic Marinovic,73,8,financieras senor,45,106,3.455387035401487,19.430591160745966
Esteban Jadresic Marinovic,73,9,operaciones financieras senor,45,106,3.455387035401487,19.430591160745966
Esteban Jadresic Marinovic,73,10,division operaciones financieras senor,41,102,3.400706714410677,18.400112319479017
Esteban Jadresic Marinovic,73,11,financieras,64,554,2.156631046788406,16.36107831875235
Esteban Jadresic Marinovic,73,12,de division,99,1421,1.653648548782086,15.950005981374016
Esteban Jadresic Marinovic,73,13,division,99,1465,1.623297622083122,15.673838351408577
Esteban Jadresic Marinovic,73,14,el gerente de division,75,866,1.8697594913032578,15.56641356724363
Esteban Jadresic Marinovic,73,15,gerente de division,84,1195,1.6621710513964558,14.76315273377378
Esteban Jadresic Marinovic,73,16,cree,36,296,2.2072160371266554,12.523504192066127
Esteban Jadresic Marinovic,73,17,division internacional,20,5,5.695682258884203,11.40042060489156
Esteban Jadresic Marinovic,73,18,cree que,30,252,2.1857367837172745,11.334469704886349
Esteban Jadresic Marinovic,73,19,de division internacional,20,4,5.918431032652802,10.81605337554049
Esteban Jadresic Marinovic,73,20,gerente de division internacional,20,4,5.918431032652802,10.81605337554049
Nicolás Eyzaguirre Guzmán,71,1,el senor ministro,73,267,3.818236551317793,28.929991550076718
Nicolás Eyzaguirre Guzmán,71,2,senor ministro,74,317,3.6604738935624432,28.37579492221061
Nicolás Eyzaguirre Guzmán,71,3,ministro,85,636,3.1045282038403013,26.91913602053003
Nicolás Eyzaguirre Guzmán,71,4,el senor ministro de,41,144,3.856757441496529,21.802573157432995
Nicolás Eyzaguirre Guzmán,71,5,senor ministro de hacienda,41,159,3.757802548801733,21.4700979505791
Nicolás Eyzaguirre Guzmán,71,6,senor ministro de,41,161,3.745320380024258,21.426255982919077
Nicolás Eyzaguirre Guzmán,71,7,ministro de hacienda,50,420,2.987050051764135,19.997204067527694
Nicolás Eyzaguirre Guzmán,71,8,ministro de,50,435,2.952062497769872,19.800375206774152
Nicolás Eyzaguirre Guzmán,71,9,de hacienda,52,507,2.8385994305368305,19.528717662777584
Nicolás Eyzaguirre Guzmán,71,10,hacienda,52,510,2.832719544593197,19.49379946504413
Nicolás Eyzaguirre Guzmán,71,11,de hacienda consulta,15,19,4.87402830329124,14.116804119128398
Nicolás Eyzaguirre Guzmán,71,12,hacienda consulta,15,19,4.87402830329124,14.116804119128398
Nicolás Eyzaguirre Guzmán,71,13,ministro de hacienda consulta,15,19,4.87402830329124,14.116804119128398
Nicolás Eyzaguirre Guzmán,71,14,producto potencial,10,24,4.235189772725312,11.258110868975162
Nicolás Eyzaguirre Guzmán,71,15,de hacienda senala,10,33,3.917101287120551,10.85864082710693
Nicolás Eyzaguirre Guzmán,71,16,hacienda senala,10,33,3.917101287120551,10.85864082710693
Nicolás Eyzaguirre Guzmán,71,17,ministro de hacienda senala,10,33,3.917101287120551,10.85864082710693
Nicolás Eyzaguirre Guzmán,71,18,potencial,15,137,2.9015303484779977,10.686536893240241
Nicolás Eyzaguirre Guzmán,71,19,sea,23,412,2.231493387975604,10.448794531769474
Nicolás Eyzaguirre Guzmán,71,20,por tanto,14,128,2.9004334556484643,10.320828478455882
Diego Gianelli Gómez,47,1,brasil,43,333,2.159956432072236,13.34822101988795
Diego Gianelli Gómez,47,2,america,87,1397,1.434454711528753,13.019204544801475
Diego Gianelli Gómez,47,3,renta,21,68,3.02977046369665,12.143921335494946
Diego Gianelli Gómez,47,4,colombia,22,94,2.7529186650337927,11.63307632635047
Diego Gianelli Gómez,47,5,federal,32,252,2.143004152400133,11.435776686040326
Diego Gianelli Gómez,47,6,reserva,33,277,2.079392468705856,11.3088591807297
Diego Gianelli Gómez,47,7,la reserva,32,259,2.1156823187500278,11.307645277743177
Diego Gianelli Gómez,47,8,la reserva federal,31,243,2.1475879084627847,11.276738376594636
Diego Gianelli Gómez,47,9,reserva federal,31,245,2.139413928636996,11.239137024313704
Diego Gianelli Gómez,47,10,2016,20,88,2.7235669804163534,11.003913102267772
Diego Gianelli Gómez,47,11,peru,22,117,2.5344237377810117,10.91714377473609
Diego Gianelli Gómez,47,12,en efecto,24,155,2.340641685569908,10.683139812497958
Diego Gianelli Gómez,47,13,2014,20,105,2.547256298605074,10.450940987816427
Diego Gianelli Gómez,47,14,euro,41,522,1.6644883614380817,10.286180999018656
Diego Gianelli Gómez,47,15,de america,64,1173,1.302501956304181,10.180410364239066
Diego Gianelli Gómez,47,16,el ano 2016,12,20,3.693047954276068,10.118081966873127
Diego Gianelli Gómez,47,17,renta fija,12,27,3.393211105210419,9.78513792532375
Diego Gianelli Gómez,47,18,niveles historicamente,11,18,3.711358056603032,9.701705525732784
Diego Gianelli Gómez,47,19,estados unidos de america,59,1099,1.2863272612178314,9.657796270673739
Diego Gianelli Gómez,47,20,unidos de america,59,1099,1.2863272612178314,9.657796270673739
Matías Bernier Bórquez,41,1,el gerente de mercados,29,49,4.816071134197239,20.564736790401014
Matías Bernier Bórquez,41,2,gerente de mercados,29,60,4.613719779357933,20.409504184597083
Matías Bernier Bórquez,41,3,nacionales senor,27,43,4.875028411500456,19.861872845953762
Matías Bernier Bórquez,41,4,de mercados,29,93,4.17592615589068,19.646736766888978
Matías Bernier Bórquez,41,5,nacionales,29,173,3.5562506147814297,17.74270430926434
Matías Bernier Bórquez,41,6,flap,15,44,4.263900144398595,14.26964101089625
Matías Bernier Bórquez,41,7,mercados nacionales,17,7,6.225810140091103,13.870586813375901
Matías Bernier Bórquez,41,8,de mercados nacionales,17,6,6.379785957994537,13.443178094380148
Matías Bernier Bórquez,41,9,la flap,12,42,4.087269601213422,12.495475409159368
Matías Bernier Bórquez,41,10,de mercados financieros nacionales,12,49,3.933341973488308,12.221624993975533
Matías Bernier Bórquez,41,11,gerente de mercados nacionales,17,4,6.784670452023416,12.219134498383227
Matías Bernier Bórquez,41,12,de mercados nacionales senor,16,4,6.7240632970940775,12.038024489657872
Matías Bernier Bórquez,41,13,mercados nacionales senor,16,4,6.7240632970940775,12.038024489657872
Matías Bernier Bórquez,41,14,gerente de mercados financieros,12,56,3.800029612107636,11.956493704407578
Matías Bernier Bórquez,41,15,financieros nacionales senor,11,39,4.07430803621766,11.942696028703118
Matías Bernier Bórquez,41,16,mercados financieros nacionales senor,11,39,4.07430803621766,11.942696028703118
Matías Bernier Bórquez,41,17,financieros nacionales,12,57,3.7823610823836624,11.919536974365451
Matías Bernier Bórquez,41,18,mercados financieros nacionales,12,57,3.7823610823836624,11.919536974365451
Matías Bernier Bórquez,41,19,de mercados financieros,12,75,3.5084762548120576,11.297600631568743
Matías Bernier Bórquez,41,20,repo,9,8,5.456323716703602,11.233329987011867
Ricardo Vicuña Poblete,39,1,estadisticas,26,94,4.859214546861492,21.944844856520188
Ricardo Vicuña Poblete,39,2,division estadisticas,25,7,7.414798988629341,17.35216128433479
Ricardo Vicuña Poblete,39,3,de division estadisticas,24,7,7.373857206749649,17.177834444993692
Ricardo Vicuña Poblete,39,4,gerente de division estadisticas,24,5,7.709786866749629,15.69778871971756
Ricardo Vicuña Poblete,39,5,importacion,9,21,5.29364829890915,13.293773903654388
Ricardo Vicuña Poblete,39,6,aviones,8,26,4.9624954196991045,12.282261549396441
Ricardo Vicuña Poblete,39,7,el gerente de division,24,917,2.5131968843714576,12.237484478952968
Ricardo Vicuña Poblete,39,8,aeronaves,7,14,5.447307677210808,11.773074434415184
Ricardo Vicuña Poblete,39,9,de aeronaves,7,9,5.8887709648917985,11.68977737288942
Ricardo Vicuña Poblete,39,10,en el balance,6,9,5.734570510471702,10.885107034332984
Ricardo Vicuña Poblete,39,11,gerente de division,24,1255,2.2042958337762606,10.797281977287495
Ricardo Vicuña Poblete,39,12,de aviones,6,17,5.0991902382866305,10.74476839219229
Ricardo Vicuña Poblete,39,13,division,25,1539,2.0444754321532406,10.252138290347869
Ricardo Vicuña Poblete,39,14,de division,24,1496,2.0321018531853943,9.98656031494473
Ricardo Vicuña Poblete,39,15,de informacion investigacion,5,6,5.957363844539845,9.842189288768953
Ricardo Vicuña Poblete,39,16,de informacion investigacion estadistica,5,6,5.957363844539845,9.842189288768953
Ricardo Vicuña Poblete,39,17,gerente de informacion,5,6,5.957363844539845,9.842189288768953
Ricardo Vicuña Poblete,39,18,gerente de informacion investigacion,5,6,5.957363844539845,9.842189288768953
Ricardo Vicuña Poblete,39,19,informacion investigacion,5,6,5.957363844539845,9.842189288768953
Ricardo Vicuña Poblete,39,20,informacion investigacion estadistica,5,6,5.957363844539845,9.842189288768953
Klaus Schmidt-Hebbel Dunker,32,1,investigacion,70,62,4.488501842847371,25.74648313285212
Klaus Schmidt-Hebbel Dunker,32,2,de investigacion,69,50,4.689049313768593,25.257285992395303
Klaus Schmidt-Hebbel Dunker,32,3,de investigacion economica,69,46,4.772367773786259,25.08182845087871
Klaus Schmidt-Hebbel Dunker,32,4,investigacion economica,69,46,4.772367773786259,25.08182845087871
Klaus Schmidt-Hebbel Dunker,32,5,gerente de investigacion,69,45,4.794329677432326,25.03101817427181
Klaus Schmidt-Hebbel Dunker,32,6,gerente de investigacion economica,69,43,4.83975634892229,24.92004748497053
Klaus Schmidt-Hebbel Dunker,32,7,economica,69,201,3.2988765736240317,23.657128610870576
Klaus Schmidt-Hebbel Dunker,32,8,el gerente de investigacion,59,23,5.30816389287331,21.605332363851126
Klaus Schmidt-Hebbel Dunker,32,9,schmidt,63,11,6.110254088117501,18.718754048214517
Klaus Schmidt-Hebbel Dunker,32,10,hebbel,62,11,6.094257393592178,18.64711217264425
Klaus Schmidt-Hebbel Dunker,32,11,schmidt hebbel,62,11,6.094257393592178,18.64711217264425
Klaus Schmidt-Hebbel Dunker,32,12,novedades,42,118,3.334238553372108,18.567400684049666
Klaus Schmidt-Hebbel Dunker,32,13,de investigacion economica senor,30,32,4.301545404375502,16.93259018124493
Klaus Schmidt-Hebbel Dunker,32,14,economica senor,30,32,4.301545404375502,16.93259018124493
Klaus Schmidt-Hebbel Dunker,32,15,investigacion economica senor,30,32,4.301545404375502,16.93259018124493
Klaus Schmidt-Hebbel Dunker,32,16,brecha,35,201,2.620177547050079,14.320909348930716
Klaus Schmidt-Hebbel Dunker,32,17,economica que,23,11,5.102835952001644,13.926404531542493
Klaus Schmidt-Hebbel Dunker,32,18,producto,42,402,2.110885885020794,13.039693414707873
Klaus Schmidt-Hebbel Dunker,32,19,de politica,104,2332,1.2653428343628228,12.676509000016399
Klaus Schmidt-Hebbel Dunker,32,20,politica,129,3328,1.1267083562296483,12.614160782484095
Luis Felipe Céspedes Cifuentes,20,1,gerente de investigacion,15,99,3.5825231102435824,12.945873031077301
Luis Felipe Céspedes Cifuentes,20,2,de investigacion,15,104,3.5333727673211923,12.809590552420438
Luis Felipe Céspedes Cifuentes,20,3,el gerente de investigacion,13,69,3.799791482577466,12.580078168773136
Luis Felipe Céspedes Cifuentes,20,4,investigacion,15,117,3.415902382288669,12.473270642803014
Luis Felipe Céspedes Cifuentes,20,5,gerente de investigacion economica,14,98,3.523741623152147,12.349076936413123
Luis Felipe Céspedes Cifuentes,20,6,de investigacion economica,14,101,3.493666085050763,12.266931911540139
Luis Felipe Céspedes Cifuentes,20,7,investigacion economica,14,101,3.493666085050763,12.266931911540139
Luis Felipe Céspedes Cifuentes,20,8,de investigacion economica senor,10,52,3.8199934003065934,11.073787391312756
Luis Felipe Céspedes Cifuentes,20,9,economica senor,10,52,3.8199934003065934,11.073787391312756
Luis Felipe Céspedes Cifuentes,20,10,investigacion economica senor,10,52,3.8199934003065934,11.073787391312756
Luis Felipe Céspedes Cifuentes,20,11,debiese,8,29,4.1800340655959225,10.474560319321718
Luis Felipe Céspedes Cifuentes,20,12,economica,14,256,2.567553140566857,9.385451116237089
Luis Felipe Céspedes Cifuentes,20,13,tpm,18,594,1.9826571521030907,8.336257418720562
Luis Felipe Céspedes Cifuentes,20,14,estructura de tasas,5,28,3.7456241330648377,7.72317672426805
Luis Felipe Céspedes Cifuentes,20,15,de la inflacion la,4,14,4.214755259044945,7.439473008847641
Luis Felipe Céspedes Cifuentes,20,16,mayor incertidumbre,5,39,3.4150745555683786,7.199856045694357
Luis Felipe Céspedes Cifuentes,20,17,de la politica monetaria,10,239,2.301461536500426,7.160990766436707
Luis Felipe Céspedes Cifuentes,20,18,la tpm,14,492,1.9201877104372205,7.129370381574506
Luis Felipe Céspedes Cifuentes,20,19,se requiere,4,19,3.9098547473576684,7.113897567577024
Luis Felipe Céspedes Cifuentes,20,20,la politica monetaria,14,496,1.9121907143001255,7.100831058339765
