ngram,n_palabras,ocurrencias,intervenciones,reuniones
la desaceleracion,2,552,433,106
el senor lehmann,3,552,280,71
en el corto plazo,4,551,461,127
ultima reunion,2,550,454,130
dinamica,1,550,432,127
cifra,1,550,423,126
medidas de,2,550,418,127
que las tasas,3,549,427,122
del precio del,3,549,422,122
mucho,1,548,486,116
igual,1,548,447,129
de acuerdo con,3,547,456,113
julio,1,547,340,103
cree que,2,543,420,99
debilidad,1,542,405,121
levemente,1,541,439,126
del consumo,2,541,409,116
hacia el,2,541,409,125
proyeccion de,2,540,450,124
subir,1,538,377,116
la sesion,2,537,519,132
pesar,1,537,455,127
trayectoria de,2,537,410,124
que con,2,536,472,128
anteriores,1,535,446,127
el proximo,2,535,432,118
tercer trimestre,2,535,357,109
eso,1,534,435,86
octubre,1,534,318,106
herrera,1,533,455,66
para los,2,533,455,129
la ultima reunion,3,533,440,130
el banco central,3,533,426,122
primas,1,533,425,110
presiones inflacionarias,2,533,413,125
todos,1,532,480,128
trabajo,1,532,434,122
el senor presidente,3,532,403,90
probablemente,1,531,455,119
en segundo,2,530,504,128
la de,2,530,447,125
todavia,1,530,439,118
baja en,2,530,430,120
2008,1,529,379,97
febrero,1,529,302,88
alla,1,528,448,124
mas alla,2,528,448,124
la minuta,2,528,399,124
impulso,1,528,395,121
el dia,2,527,486,131
curso,1,526,429,125
informe de,2,526,367,131
exposicion,1,525,512,131
razones,1,525,457,125
en 25 puntos,3,525,384,92
cierre,1,523,389,121
las opciones,2,522,489,132
lo anticipado,2,522,386,113
que una,2,521,454,116
grado de,2,521,432,116
en 25 puntos base,4,521,382,92
en chile,2,520,432,126
alza en,2,519,428,126
en relacion con,3,518,455,110
hacer,1,518,445,117
en el horizonte,3,518,433,131
de estados unidos de,4,518,381,102
ello se,2,517,466,130
esperada,1,517,432,126
financiero,1,517,432,124
adelante,1,517,422,114
para el ano,3,517,365,121
cierto,1,516,434,123
el senor ministro,3,516,354,77
continuan,1,515,422,126
reserva,1,515,381,101
liquidez,1,515,336,94
por el lado,3,514,391,120
mantencion,1,514,376,114
inflacion subyacente,2,513,423,126
de este ano,3,513,421,122
en los precios,3,512,434,126
la produccion,2,512,345,120
presenta,1,511,433,121
mostrando,1,510,395,126
las exportaciones,2,510,345,117
miguel,1,508,377,87
del ultimo,2,506,429,126
considerando,1,506,404,121
el riesgo,2,506,393,123
imacec,1,506,380,115
senor consejero,2,506,230,62
datos de,2,505,422,114
de la tpm,3,505,362,102
colocaciones,1,505,308,108
dicha,1,504,443,121
luis oscar,2,504,438,60
luis oscar herrera,3,504,438,60
oscar,1,504,438,60
oscar herrera,2,504,438,60
fuerza,1,504,424,125
percepcion,1,504,408,120
que la tasa,3,503,426,126
base en,2,503,373,117
en este sentido,3,501,425,102
este sentido,2,501,425,102
la parte,2,501,374,117
estimulo,1,501,369,108
varios,1,500,434,128
respecto al,2,500,391,116
de diciembre,2,500,334,93
america latina,2,500,327,114
latina,1,500,327,114
significativo,1,499,440,126
senor luis,2,499,424,77
que un,2,498,416,126
deterioro,1,498,366,103
de mayo,2,498,297,84
dan cuenta de,3,497,427,114
adicional,1,496,434,120
estaria,1,496,426,127
considera que,2,496,423,118
haber,1,495,447,128
dentro,1,495,421,125
en la reunion,3,495,397,118
diferencia,1,494,444,126
agrega el,2,493,370,59
de capital,2,493,351,120
plano,1,493,345,131
holguras,1,493,344,115
agradece la,2,492,491,109
ambito,1,492,427,122
da cuenta,2,492,412,110
mostrado,1,492,379,124
entonces,1,490,437,119
consejero senor manuel,3,490,404,58
menor que,2,490,385,120
de marzo,2,490,334,89
vial,1,489,423,49
consejero senor manuel marfan,4,489,403,58
partir,1,489,402,128
debiera,1,489,360,114
posible,1,488,430,127
encuesta de,2,488,331,117
en parte,2,487,411,126
crecimiento de la,3,487,407,122
fuentes,1,487,363,72
federal,1,487,360,102
finalmente,1,486,443,121
es por,2,485,439,126
joaquin,1,484,420,48
joaquin vial,2,484,420,48
sorpresas,1,484,372,125
responde,1,483,469,119
que podria,2,483,447,125
con su,2,483,424,106
el precio de,3,483,384,122
las economias desarrolladas,3,483,346,100
el nivel,2,481,420,125
con todo,2,481,413,128
corbo,1,480,397,35
de en,2,480,314,124
ipcx1,1,480,288,91
estabilidad,1,479,408,124
agrega que en,3,478,447,130
de sus,2,478,424,131
vision,1,478,393,117
sorpresa,1,478,368,116
la reserva,2,478,362,100
sera,1,477,407,120
las perspectivas de,3,477,373,121
de 25 puntos,3,477,343,107
han sido,2,476,378,121
de las economias,3,476,373,108
encuentra,1,475,424,124
resalta,1,475,390,66
lo proyectado,2,475,366,118
un aumento de,3,475,363,116
ano pasado,2,473,404,110
el consejero senor manuel,4,473,393,58
los indicadores de,3,473,371,122
exhiben,1,473,347,96
el senor consejero,3,473,214,61
de mayor,2,472,411,126
claramente,1,472,399,125
el efecto,2,472,397,120
de normalizacion,2,472,313,83
componentes,1,471,378,117
un mes,2,471,363,112
creditos,1,471,316,111
desde la ultima,3,469,400,128
primera,1,468,428,123
el empleo,2,468,363,122
de ramon,2,468,355,117
ramon,1,468,355,117
de 25 puntos base,4,468,336,106
en doce,2,468,324,113
que al,2,467,421,119
pueden,1,467,409,123
economia chilena,2,467,348,117
la economia chilena,3,467,348,117
puntos base en,3,467,340,115
en doce meses,3,467,323,113
privado,1,466,368,120
escenario central,2,466,250,75
significativamente,1,465,407,125
del rango,2,465,364,119
los combustibles,2,465,359,114
atencion,1,464,410,125
bajas,1,464,394,116
curva,1,464,371,119
indica el senor,3,463,305,46
fenomeno,1,462,395,125
valores,1,462,325,122
2007,1,462,286,93
indica que el,3,461,428,120
el horizonte de,3,461,380,125
desaceleracion de,2,461,374,102
ciclo,1,461,354,111
inicia,1,460,458,86
de hacienda senor,3,460,446,114
hacienda senor,2,460,446,114
el alza,2,460,373,119
que son,2,459,418,124
el que,2,459,415,122
consigna,1,459,384,52
reserva federal,2,459,348,100
el vicepresidente senor manuel,4,458,381,47
ocasion,1,458,365,125
de empleo,2,458,357,113
consumidores,1,458,349,122
convergencia,1,458,329,108
el escenario base,3,458,313,107
se encuentra,2,457,408,123
la inflacion en,3,457,393,126
la mayor,2,457,374,123
los niveles,2,456,387,121
la crisis,2,455,337,91
fecha,1,454,380,123
habia,1,454,380,114
que las expectativas de,4,454,368,122
de mantener,2,453,386,118
de mediano,2,453,374,126
escenario externo,2,453,372,121
gran,1,452,402,125
concerniente,1,452,391,43
para esta reunion,3,452,388,128
monetaria de,2,452,355,111
la reserva federal,3,452,344,100
agosto,1,451,277,93
decir,1,450,392,98
distintas,1,450,392,130
la depreciacion,2,450,353,102
ritmo de,2,450,350,109
inicia su,2,447,447,82
altos,1,447,385,120
politica monetaria de,3,447,350,111
los costos,2,447,347,107
confianza,1,447,300,118
opcion de,2,447,300,121
bajos,1,446,385,117
observan,1,446,370,118
fundamentalmente,1,446,364,122
el crecimiento de,3,446,356,119
las condiciones financieras,3,446,354,113
tasas de crecimiento,3,446,326,121
desormeaux,1,446,292,58
su intervencion,2,445,430,84
todas,1,445,386,119
decision de,2,445,335,116
mejor,1,444,401,121
lo concerniente,2,444,388,43
en los proximos meses,4,444,374,116
parte del,2,443,400,121
alla de,2,443,392,123
mas alla de,3,443,392,123
un cambio,2,443,382,124
nueva,1,443,374,119
semestre,1,443,340,115
financiamiento,1,443,329,100
2009,1,443,302,85
inferior,1,442,345,112
30,1,441,404,132
como el,2,441,404,126
indica que la,3,441,401,122
en los ultimos meses,4,441,373,121
gradual,1,441,333,115
se espera,2,440,375,124
senor luis oscar,3,440,374,57
senor luis oscar herrera,4,440,374,57
un ajuste,2,440,345,117
en primer termino,3,439,405,92
primer termino,2,439,405,92
en lo concerniente,3,438,387,43
el ultimo ipom,3,438,369,106
valor,1,438,324,120
cuarto trimestre,2,437,313,114
sugiere,1,435,381,118
alto,1,435,376,118
el precio del petroleo,4,435,361,108
se observan,2,435,360,116
dos anos,2,435,354,123
la apreciacion,2,435,340,107
inflacion se,2,434,378,123
aumento en,2,434,362,120
segunda,1,434,355,118
brecha,1,434,290,105
magendzo,1,434,223,34
esta en,2,433,386,112
presente ano,2,433,353,88
ipom de,2,432,328,120
constituye,1,431,388,115
la baja en,3,431,357,114
del empleo,2,431,313,123
que le,2,430,394,114
con ello,2,430,376,122
que el banco,3,430,368,119
total,1,430,361,120
normalizacion de,2,430,307,96
que el precio,3,430,307,114
las ventas,2,430,283,111
staff,1,429,406,132
macroeconomico senor,2,428,418,123
una mayor,2,428,361,125
del peso,2,428,335,104
del dolar,2,427,351,116
analisis macroeconomico senor,3,426,416,123
existen,1,426,379,111
implicancias,1,426,341,117
caida en,2,425,364,110
un mayor,2,425,361,121
minuta de,2,425,344,121
repunte,1,425,337,108
una tasa,2,425,336,121
proximo ano,2,425,332,102
necesario,1,424,358,125
la curva,2,424,353,118
nacional,1,424,349,122
consejo del,2,424,313,132
la opcion de,3,424,289,119
senor joaquin,2,423,360,48
senor joaquin vial,3,423,360,48
informe de politica,3,423,294,128
el mercado laboral,3,422,376,124
de inversion,2,422,336,118
tasas de interes de,4,421,326,121
la proyeccion de,3,420,354,118
precio de los,3,420,335,117
informe de politica monetaria,4,420,291,128
de analisis macroeconomico senor,4,419,409,122
considerar,1,419,376,122
trimestre de,2,419,320,112
consejo del banco,3,419,308,132
consejero senor joaquin,3,418,358,47
consejero senor joaquin vial,4,418,358,47
brechas,1,418,324,110
la encuesta de,3,418,293,114
ministro de hacienda senor,4,417,405,108
gasolina,1,417,264,110
en linea con lo,4,416,339,117
linea con lo,3,416,339,117
dolares,1,416,294,104
internas,1,415,370,122
que el escenario,3,415,348,119
en el horizonte de,4,415,346,122
felipe,1,415,317,91
para que,2,413,392,119
las cifras de,3,413,353,117
la minuta de,3,413,335,120
en el precio,3,413,326,119
senor miguel,2,413,289,28
no ha,2,412,374,127
el primer trimestre,3,412,315,108
consejo del banco central,4,412,302,132
que lo que,3,411,379,108
la medida,2,411,362,126
un nivel,2,411,346,116
en efecto,2,411,330,96
expuesto,1,410,377,108
por parte,2,410,355,112
el particular,2,409,389,107
sobre el particular,3,409,389,107
da cuenta de,3,409,349,101
de ano,2,409,341,121
indica que en,3,408,387,126
que tiene,2,408,378,118
corresponde,1,408,375,120
direccion,1,408,352,121
de los salarios,3,408,327,112
indicador,1,408,301,115
agrega que el,3,406,379,122
niveles de,2,406,337,123
monetaria el,2,406,255,132
consejero que,2,406,177,50
dificil,1,405,356,124
el ipc,2,405,295,121
politica monetaria el,3,405,254,132
segundo lugar,2,404,385,122
una trayectoria,2,404,306,118
el consejo del,3,404,294,132
el consejo del banco,4,404,294,132
de junio,2,404,276,76
voto,1,403,374,124
de estos,2,403,367,125
tanto en,2,403,362,124
cambio en,2,403,356,117
ano en,2,403,354,124
base de,2,403,342,122
tan,1,402,364,119
horizonte de politica,3,402,329,126
lado de,2,402,320,115
por otro,2,402,316,117
industria,1,402,290,116
rodrigo vergara agradece,3,401,400,56
vergara agradece,2,401,400,56
en segundo lugar,3,401,382,122
externas,1,401,324,115
senor rodrigo vergara agradece,4,400,399,56
spreads,1,400,277,111
mas de,2,399,354,118
el de,2,399,350,120
adicionales,1,399,344,121
importante en,2,399,343,119
elevado,1,399,342,120
que en el caso,4,399,337,107
encuestas,1,399,333,118
tasa de crecimiento,3,399,273,115
operaciones financieras,2,398,347,117
consigna que,2,398,340,50
en lo que,3,398,339,116
produccion industrial,2,398,204,108
parece que,2,397,323,70
energia,1,397,299,105
misma,1,396,358,121
caracter,1,396,349,100
una situacion,2,396,342,112
su nivel,2,396,339,119
aumentando,1,396,313,113
de la inversion,3,396,303,105
inicio,1,395,351,115
en el ultimo ipom,4,395,335,102
positivas,1,395,300,119
deuda,1,395,270,90
senor consejero que,3,395,177,50
negativa,1,394,336,115
2012,1,394,244,64
es mas,2,393,356,117
local,1,393,341,107
ademas que,2,393,336,95
la trayectoria de,3,393,316,118
el lado de,3,393,313,114
en forma,2,393,313,120
los datos de,3,392,339,104
aumento de la,3,392,336,118
dinamismo de,2,392,320,104
de los combustibles,3,392,300,105
registrado,1,391,347,103
al mercado,2,391,345,123
fines de,2,391,333,113
futuros,1,391,311,113
importaciones de,2,390,299,117
mensual de,2,390,243,132
respecto la,2,389,323,112
como la,2,388,353,124
el analisis,2,388,342,126
indice,1,388,285,111
beltran,1,387,339,117
beltran de,2,387,339,117
beltran de ramon,3,387,339,117
pesar de,2,387,338,118
discusion,1,387,312,110
que se esta,3,386,353,105
medida que,2,386,343,122
elevados,1,386,326,113
ha estado,2,386,316,118
tasa de desempleo,3,386,309,121
el segundo trimestre,3,386,301,95
las colocaciones,2,386,251,103
pregunta,1,385,343,109
de tendencia,2,385,299,106
valdes,1,385,277,39
de crecimiento de,3,384,328,114
disminucion,1,384,308,109
plazos,1,384,292,110
tasa de interes de,4,384,249,132
nacionales,1,383,356,124
los commodities,2,383,325,108
le parece que,3,383,311,63
movimiento,1,383,309,113
division operaciones,2,382,331,115
reduccion de,2,382,288,105
miguel fuentes,2,382,276,23
el precio del cobre,4,381,331,114
las empresas,2,381,301,115
cambio real,2,381,299,116
era,1,380,336,113
la recuperacion,2,380,311,95
por el lado de,4,380,305,113
agrega que la,3,379,359,124
en especial,2,379,330,119
otro lado,2,379,302,116
de cambio real,3,379,297,116
es de,2,378,343,116
politica financiera,2,378,343,122
poco,1,378,327,112
negativo,1,378,312,113
moderacion,1,378,286,91
los sectores,2,378,283,111
el senor consejero que,4,378,166,49
su voto,2,377,355,123
de division operaciones,3,377,326,115
habitual,1,377,319,116
incidencia,1,377,307,107
tipo de cambio real,4,377,295,116
noviembre,1,376,236,85
suma,1,375,343,129
division operaciones financieras,3,375,326,115
seguido,1,375,317,114
leve,1,374,316,119
de las expectativas,3,374,310,116
en esta reunion,3,374,306,117
agrega el senor,3,374,289,52
en la zona,3,374,264,117
de esa,2,373,337,120
es una,2,373,333,113
del crecimiento,2,373,314,116
las presiones,2,373,291,113
correspondiente,1,372,342,131
ellos,1,372,337,119
de la demanda interna,4,372,307,114
problema,1,372,303,106
de capacidad,2,372,294,111
perspectiva,1,371,330,125
gerente de division operaciones,4,371,321,114
en el ultimo mes,4,371,317,108
un contexto,2,371,308,111
sigue siendo,2,371,307,123
de oferta,2,371,296,107
costo,1,371,292,113
probabilidad,1,371,283,108
de 50,2,371,259,91
de politica monetaria el,4,371,230,132
consejeros,1,370,360,132
refleja,1,370,328,114
de division operaciones financieras,4,370,321,115
variaciones,1,370,307,117
bolsas,1,370,256,106
estrategia,1,370,256,105
el aumento de,3,369,325,115
de la gerencia,3,369,322,119
fines del,2,369,311,111
inflacionario,1,369,291,106
crecimiento en,2,368,334,118
de hoy,2,368,290,111
neutral,1,368,287,100
el ministro,2,366,326,108
proyectada,1,366,313,130
la tendencia,2,366,298,111
hace un,2,366,289,100
jorge,1,366,263,59
el plano,2,366,250,128
al gerente,2,365,356,132
cuenta de una,3,365,314,106
el panorama,2,365,299,119
en el plano,3,365,249,128
cuanto la,2,364,344,123
que la tasa de,4,364,315,122
premios,1,364,259,108
senor gerente de,3,364,254,72
division politica,2,363,330,118
se debe,2,363,324,116
los que,2,363,312,116
el pib,2,363,274,109
despues de,2,362,332,119
de division politica,3,362,329,118
que si se,3,362,325,95
el mundo,2,362,314,116
en el ano,3,362,308,108
por otro lado,3,362,286,114
de expansion,2,362,282,108
un incremento,2,362,278,116
2006,1,362,203,61
mayoria,1,361,313,114
en un contexto,3,361,304,110
el dato,2,361,286,98
tras,1,361,197,107
actividad en,2,360,317,115
de tasas de,3,360,305,118
nuevo,1,360,301,123
positivo,1,360,295,118
la decision de,3,360,279,111
de interes de politica,4,360,229,132
interes de politica,3,360,229,132
division politica financiera,3,359,326,118
explica que,2,359,320,74
senor miguel fuentes,3,359,253,23
2011,1,359,250,73
que desde,2,358,332,117
de division politica financiera,4,358,325,118
el peso,2,358,308,119
de mediano plazo,3,358,302,120
de politica monetaria de,4,358,282,111
tambien que,2,357,298,97
positiva,1,357,282,108
laborales,1,357,280,87
presentacion del,2,356,353,103
resultado,1,356,310,121
economico,1,356,294,114
semana,1,356,290,107
por riesgo,2,356,286,110
anual en,2,356,283,115
menciona el,2,356,242,48
para este,2,355,313,117
se tiene,2,355,311,92
negativas,1,355,299,113
esta ocasion,2,355,285,116
creacion,1,355,275,109
de abril,2,355,242,82
vittorio,1,354,328,35
vittorio corbo,2,354,328,35
acerca,1,354,326,109
el ambito,2,354,326,121
del ano pasado,3,354,312,100
este contexto,2,354,309,119
un efecto,2,353,319,120
la inflacion de,3,353,294,115
2010,1,353,249,75
la gasolina,2,353,237,102
en los precios de,4,352,306,113
en la tasa,3,352,294,110
un alza de,3,352,260,91
las que,2,351,324,116
que los precios,3,351,317,112
nuevos,1,351,311,125
distintos,1,351,307,118
reducir,1,351,288,107
de octubre,2,351,235,84
cds,1,351,196,85
16,1,350,327,129
sesion de,2,350,323,132
gerente de division politica,4,350,321,116
una reduccion,2,350,256,105
con lo que,3,349,298,122
dar,1,348,319,123
cambio de,2,348,311,110
inflacion del,2,348,282,113
cerca,1,348,278,113
comenta el,2,348,244,44
el senor gerente de,4,348,240,71
de las tasas de,4,347,309,113
en este contexto,3,347,303,119
de la gerencia de,4,347,301,114
debil,1,347,298,117
depreciacion del,2,347,293,97
de julio,2,347,220,84
la presentacion del,3,346,344,102
mas que,2,346,315,112
prosigue,1,345,330,80
sobre los,2,345,322,124
es muy,2,345,315,118
un ano,2,345,288,115
trimestre del ano,3,345,285,102
mantencion de,2,345,277,108
incremento de,2,345,257,109
bienes de,2,345,243,113
senala que las,3,344,322,117
como en,2,344,318,120
15,1,344,299,111
referencia,1,344,299,101
ante,1,344,298,116
aspecto,1,344,297,94
el tercer,2,344,258,99
de febrero,2,344,223,66
situacion de,2,343,307,110
en los meses,3,343,306,119
que los datos,3,343,297,106
de inflacion de,3,343,285,111
continuado,1,343,280,114
en el ambito,3,342,315,121
por mantener,2,342,315,92
de los precios de,4,342,294,106
la tasa de desempleo,4,342,279,120
no solo,2,341,320,111
pasada,1,341,282,113
fueron,1,341,274,107
al gerente de,3,340,333,132
senalando,1,340,327,113
la primera,2,340,318,113
senor ministro de,3,340,301,79
historicos,1,340,294,111
mas probable,2,340,289,115
gerente senor,2,340,275,45
estimulo monetario,2,340,269,90
revision,1,340,264,114
se podria,2,339,301,111
que las tasas de,4,339,295,118
punto de,2,339,292,112
tal como,2,339,289,115
de demanda,2,339,288,116
seguir,1,339,286,120
el horizonte de politica,4,339,284,121
luego de,2,339,282,119
decisiones,1,339,281,110
los alimentos,2,339,271,80
dando,1,338,303,111
senor ministro de hacienda,4,338,299,79
materias,1,338,295,99
evidencia,1,338,281,114
de credito,2,338,252,102
titulo,1,337,306,71
el ministro de,3,337,303,106
que las cifras,3,337,302,117
actuales,1,337,293,117
el comunicado,2,337,278,103
caso del,2,337,256,106
inicia su intervencion,3,336,336,71
del gerente,2,336,332,113
de china,2,336,282,104
12,1,336,258,112
interes de politica monetaria,4,336,208,132
que estan,2,335,289,117
20,1,335,273,116
el senor miguel,3,335,219,25
que en su,3,334,321,116
en cuanto la,3,334,316,121
que estos,2,334,316,115
el ministro de hacienda,4,334,300,106
en las ultimas,3,334,297,113
una inflacion,2,334,295,121
evolucion de la,3,334,279,114
las de,2,334,274,118
el caso del,3,334,253,106
el sentido,2,333,306,108
significativos,1,333,291,123
favorables,1,333,275,98
mineria,1,333,266,98
economicas,1,333,262,118
encima,1,333,231,88
desde la ultima reunion,4,332,303,124
conjunto,1,332,288,120
rango de,2,332,278,107
de alimentos,2,332,263,88
investigacion,1,332,223,112
razon de,2,331,319,96
comerciales,1,331,278,104
ha mantenido,2,331,245,118
por encima,2,331,229,88
todos los,2,330,314,118
como tambien,2,330,292,108
la volatilidad,2,330,281,101
del orden,2,330,264,115
alemania,1,330,214,92
acota,1,329,308,87
en cambio,2,329,301,112
cuales,1,329,289,120
tasa en,2,329,273,113
de trabajo,2,329,270,108
asia,1,329,257,111
nuestro,1,329,224,88
shocks,1,329,209,77
consulta si,2,328,327,111
plazo en,2,328,298,119
nuevamente,1,328,296,119
esperar,1,328,294,111
de algunos,2,328,293,115
ultimas semanas,2,328,283,111
algo por,2,328,278,110
el gerente senor,3,328,265,45
por cuanto,2,327,307,91
en esa,2,327,306,115
tampoco,1,327,299,116
alrededor,1,327,291,116
que el crecimiento,3,327,288,114
aceleracion,1,327,273,112
de opciones,2,327,266,117
en la zona euro,4,327,234,112
sobre las,2,326,298,121
tambien en,2,326,294,119
en la medida,3,326,290,119
de europa,2,326,264,104
del gerente de,3,325,321,108
primero,1,325,304,120
de que la,3,325,300,120
en el sentido,3,325,299,107
continuar,1,325,291,109
el resto,2,325,288,119
es decir,2,325,287,91
supuesto,1,325,266,103
la velocidad,2,325,261,105
inflacion anual,2,325,247,109
hoy dia,2,324,265,95
evaluacion,1,324,263,110
corriente,1,324,242,90
concede,1,323,323,78
estables,1,323,282,108
para las,2,323,276,118
en las tasas,3,323,267,117
en esta ocasion,3,323,261,114
descartar,1,323,257,112
en anual,2,323,252,62
han tendido,2,323,244,104
nivel actual,2,322,282,109
aprecia,1,322,259,98
la variacion,2,322,251,107
senor garcia,2,322,141,63
posibilidad,1,321,284,117
escenario internacional,2,321,282,120
materias primas,2,321,278,97
desarrollos,1,321,261,119
shock,1,321,221,82
politicas,1,320,279,103
las ultimas semanas,3,320,278,111
recursos,1,320,274,110
particularmente en,2,320,260,111
estable,1,320,258,114
forward,1,320,255,106
mantener la tpm,3,320,250,70
persistencia,1,320,239,93
75,1,320,230,89
europeo,1,320,230,77
concede la,2,319,319,77
concede la palabra,3,319,319,77
efectivamente,1,319,296,98
similares,1,319,286,116
elemento,1,319,277,119
partir de,2,319,275,114
siguiente,1,319,266,128
orden de,2,319,263,114
creacion de,2,319,257,107
estuvo,1,318,273,118
del primer,2,318,257,96
tuvo,1,318,257,106
rodrigo vergara agradece la,4,317,317,49
vergara agradece la,3,317,317,49
considerado,1,317,287,124
las encuestas,2,317,271,111
contemplado,1,317,267,107
apuntan,1,317,264,111
cuenta corriente,2,317,236,87
que estas,2,316,293,118
no hay,2,316,288,107
dentro de,2,316,284,114
que la actividad,3,316,281,112
cuadro,1,316,244,115
rango meta,2,316,234,94
un sesgo,2,316,218,86
del consejero,2,315,306,98
antes de,2,315,292,114
la evolucion de la,4,315,265,113
las importaciones de,3,315,249,111
diagnostico,1,315,244,109
monetaria en 25,3,315,240,69
politica monetaria en 25,4,315,240,69
una recuperacion,2,314,268,96
ido,1,314,266,118
acota que,2,313,293,82
productos,1,313,284,107
la incertidumbre,2,313,267,105
se aprecia,2,313,252,97
lehmann que,2,313,100,45
principal,1,312,279,114
alberto,1,312,273,69
de los commodities,3,312,272,103
senor marfan,2,312,236,62
emergente,1,312,220,99
del consejero senor,3,311,302,97
por mantener la,3,311,292,84
mes anterior,2,311,187,96
encuentran,1,310,279,114
el crecimiento del,3,310,268,115
en dicho,2,310,268,99
mas reciente,2,310,268,115
en razon,2,309,299,87
senalando que,2,309,297,108
continuacion el,2,309,288,117
hasta ahora,2,309,267,114
que las condiciones,3,309,261,107
gerente que,2,309,146,46
fin,1,308,299,116
deja,1,308,292,95
que aun,2,308,282,108
cambios en,2,308,277,117
ver,1,308,275,87
es coherente,2,308,274,122
evolucion del,2,308,274,117
el punto,2,308,268,112
de lo que se,4,308,249,96
de tasa,2,308,244,100
novedades,1,308,217,95
respectivamente,1,308,206,102
lo que ha,3,307,276,114
que las proyecciones,3,307,269,104
nominal,1,307,251,104
senal,1,307,246,104
cuando se,2,306,287,106
indica que las,3,306,283,105
no han,2,306,282,120
efecto de,2,306,281,108
inflacion que,2,306,281,112
se encuentran,2,306,275,112
trata,1,306,269,93
se advierte,2,306,267,85
encuesta de expectativas,3,306,234,105
internacional senor,2,305,294,118
la sesion de,3,305,294,132
ejemplo,1,305,287,103
lo expuesto,2,305,287,102
de caracter,2,305,276,91
han aumentado,2,305,272,114
que la economia,3,305,268,109
las bolsas,2,305,219,98
de agosto,2,305,195,74
de inventarios,2,304,216,90
que en los,3,303,282,113
sostiene,1,303,268,65
del mundo,2,303,266,107
en la tasa de,4,303,258,104
por el mercado,3,303,256,111
el consejero senor joaquin,4,303,245,47
observado en,2,302,276,112
siguientes,1,302,275,124
la medida que,3,302,272,119
que de acuerdo,3,302,261,97
fondo,1,302,256,102
jorge desormeaux,2,302,252,58
el riesgo de,3,302,248,106
gobierno,1,302,234,96
normalizacion de la,3,302,222,79
senor magendzo,2,302,104,24
su voto es,3,301,296,117
voto es,2,301,296,117
futura,1,301,260,106
mediados,1,301,259,113
el tercer trimestre,3,301,225,91
de bienes de,3,301,218,109
asesor,1,301,179,117
especialmente en,2,300,268,114
de liquidez,2,300,224,77
al alza en,3,299,266,115
debajo de lo,3,299,263,100
caido,1,299,261,106
tensiones,1,299,234,71
acordo,1,299,187,126
millones,1,299,149,86
la misma,2,298,275,113
anticipa,1,298,273,107
tanto que,2,298,273,86
de mantener la,3,298,269,104
analistas,1,298,265,109
por debajo de lo,4,298,262,100
cuenta de un,3,298,256,103
las principales,2,298,254,118
del presente,2,298,253,79
en el segundo,3,298,249,100
2013,1,298,206,53
el senor miguel fuentes,4,298,199,23
senor gerente que,3,298,139,45
en razon de,3,297,288,83
un escenario de,3,297,262,109
en la inflacion,3,297,247,100
en el primer,3,297,242,106
costos laborales,2,297,229,73
subir la,2,297,215,82
final,1,296,263,100
presentan,1,296,257,117
la percepcion,2,296,252,110
apreciacion del,2,296,250,98
los movimientos,2,296,241,113
viviendas,1,296,209,94
el senor gerente que,4,296,139,45
00,1,295,280,128
advierte que,2,295,278,81
el comportamiento,2,295,269,113
en torno al,3,295,253,101
torno al,2,295,253,101
sugieren,1,295,251,101
de que el,3,294,279,110
de ello,2,294,266,112
la evolucion del,3,294,263,116
grandes,1,294,257,110
se trata,2,294,257,89
el senor ministro de,4,294,255,73
el dolar,2,294,248,108
concede la palabra al,4,293,293,77
que existe,2,293,273,95
hay un,2,293,268,96
nuevas,1,293,264,109
al menos,2,293,261,108
coyuntura,1,293,260,105
ve,1,293,258,109
crecimiento para,2,293,254,107
el proceso,2,293,241,102
las monedas,2,293,230,106
reitera,1,292,272,93
el hecho,2,292,268,114
riesgos de,2,292,243,108
publico,1,292,242,106
ella,1,291,281,108
expresado,1,291,273,83
medio,1,291,264,104
el futuro,2,291,260,106
este escenario,2,291,252,112
desaceleracion de la,3,291,251,82
en china,2,291,245,88
nuestra,1,291,229,92
agradece la presentacion,3,290,290,100
del comunicado,2,290,279,126
en la medida que,4,290,260,117
del proximo,2,290,259,98
es coherente con,3,290,259,121
sorprendio,1,290,253,101
el ajuste,2,290,246,105
dona,1,290,131,125
senor lehmann que,3,290,87,39
que mas,2,289,270,113
que se observa,3,289,259,110
recuperacion de,2,289,256,94
transitorio,1,289,255,101
percepcion de,2,289,244,106
escenarios,1,289,231,97
reversion,1,289,231,94
crecimiento anual,2,289,136,80
siendo las,2,288,287,132
su voto es por,4,288,284,115
voto es por,3,288,284,115
ha aumentado,2,288,254,113
hay que,2,288,248,84
senales de,2,288,244,102
bajar,1,288,224,83
el escenario central,3,288,175,62
si el,2,287,272,109
reuniones,1,287,259,105
lo que esta,3,287,250,84
del precio de,3,287,235,99
la mantencion,2,287,232,103
senor felipe,2,287,221,48
2014,1,287,208,53
monetaria el consejo,3,287,157,132
politica monetaria el consejo,4,287,157,132
analisis internacional senor,3,286,275,113
la posibilidad,2,286,257,113
el dinamismo,2,286,242,93
cierre de,2,286,235,89
responde que,2,285,284,72
votacion,1,285,281,130
la caida de,3,285,252,106
la inflacion subyacente,3,285,252,104
junto,1,285,250,112
moderado,1,285,249,105
asociado,1,285,236,103
que el precio del,4,285,215,102
